Molecule_Name,Database_ID,Canonical_SMILES,Target_Pathway_or_Gene,Drosophila_Homolog,Human_Ortholog,Assay_Type_and_System,Biological_Activity,Academic_Reference,Molecular_Weight,LogP,TPSA,HBD,HBA,Rotatable_Bonds,Aromatic_Rings,Fraction_CSP3,Heavy_Atoms,QED_Drug_Likeness,Lipinski_Violations,Lipinski_Pass,Veber_Compliance,Lead_Likeness,Estimated_Kd_uM,QSAR_Toxicity_Risk,Pharmacological_Category,Predicted_Potency_Class,Potency_Code,Safety_Window_Class,Safety_Code,Development_Stage
Dabrafenib,PubChem CID: 44462760 / ChEMBL2105758,CC(C)(C)c1nc(-c2ccc(F)c(S(=O)(=O)Nc3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,B-Raf kinase (Drosophila dRaf oncogenic monomer),dRaf,BRAF (V600E),In vivo dRafV600E transgenic imaginal disc hyperplasia,Reversal of disc overgrowth at 5.0 uM,PMID: 30104278 / DOI: 10.1038/s41467-018-05652-3,537.56,5.5,110.86,2,7,5,4,0.174,36,0.325,2,İhlal (>1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.005,0.1,Kinaz & Sinyal İnhibitörü,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
Rapamycin,PubChem CID: 5284616 / ChEMBL413,CO[C@@H]1C[C@@H](OC)O[C@]2(O)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H]([C@H](C)C[C@@H]3CC[C@@H](O)[C@H](OC)C3)/C(C)=C/C=C/C=C/[C@@H](C)C[C@@H](C)C(=O)[C@H](OC)[C@H](O)/C(C)=C/[C@@H](C)C(=O)C[C@H]2[C@H](C)C1,PI3K/Akt/Tor pathway (Drosophila dTORC1 inhibitor),dTORC1,MTOR,In vivo Gut intestinal stem cell (ISC) overgrowth & S2 cells,IC50 = 4.2 nM (S2 cell viability); 5 uM gut rescue,PMID: 19898491 / DOI: 10.1016/j.stem.2009.08.019,944.21,6.01,204.66,3,14,7,0,0.75,67,0.152,3,İhlal (>1 İhlal),Veber İhlali,İlaç Benzeri (Drug-Like),0.0042,0.08,Kinaz & Sinyal İnhibitörü,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
Everolimus,PubChem CID: 6442177 / ChEMBL228,COC1CC(O)C(OC(C)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C2C(=O)CC3CCC(C)C(C(C)CC4CCC(OCCO)C(OC)C4)OC(=O)C4CCCCN4C(=O)C(=O)C2(O)O3)OC1C,dTORC1 / S6K signaling axis,dTORC1,MTOR,In vivo Tsc1/Tsc2 mutant gigantism & hamartoma model,Normalizes cell size & proliferation at 2.0 uM,PMID: 23153534 / DOI: 10.1016/j.cmet.2012.10.010,1116.39,5.65,260.42,4,18,24,0,0.767,79,0.03,3,İhlal (>1 İhlal),Veber İhlali,İlaç Benzeri (Drug-Like),0.005,0.085,Kinaz & Sinyal İnhibitörü,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
Alpelisib,PubChem CID: 56649450 / ChEMBL2397143,Cc1cnc(-c2nc(NC(=O)C3CCN(C(=O)c4cccc(C(F)(F)F)c4)CC3)cs2)[nH]1,PI3K catalytic subunit alpha (Drosophila Pi3K92E / Dp110),Pi3K92E,PIK3CA,In vivo Dp110CAAX oncogenic eye overgrowth,Suppression of ommatidial hyperplasia at 1.5 uM,PMID: 29899320 / DOI: 10.1038/s41598-018-27150-w,463.49,4.35,90.98,2,5,4,3,0.333,32,0.602,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.008,0.07,Kinaz & Sinyal İnhibitörü,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
Dactolisib,PubChem CID: 11977753 / ChEMBL1088753,CC(C)(C#N)c1ccc(N2C(=O)c3nc4cc(-c5ccncc5)ccc4n3C2=O)cc1,Dual PI3K / mTOR ATP-competitive inhibitor,Pi3K92E / dTORC1,PIK3CA / MTOR,In vivo Pten-/- larval brain neuroblast neoplasia,Arrests ectopic stem cell division at 500 nM; IC50 = 45 nM,PMID: 24711569 / DOI: 10.1016/j.cell.2014.02.045,407.43,4.53,91.88,0,5,3,4,0.125,31,0.498,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.0045,0.13,Kinaz & Sinyal İnhibitörü,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,Klinik Öncesi / Araştırma Fazı
Wortmannin,PubChem CID: 312145 / ChEMBL25621,C=C1OC(=O)C2C1=C1CC(=O)CCC1(C)C1(C)C(OC(C)=O)C3=C(CC21)C(=O)OC3,PI3K covalent catalytic binder,Pi3K92E,PIK3CA,In vitro S2 cell Akt phosphorylation assay,IC50 = 5.0 nM (Blockade of dAkt Ser505 phosphorylation),PMID: 15316025 / DOI: 10.1074/jbc.M405085200,412.44,2.55,95.97,0,7,1,0,0.565,30,0.482,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.005,0.15,Kinaz & Sinyal İnhibitörü,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,Klinik Öncesi / Araştırma Fazı
Methotrexate,PubChem CID: 126941 / ChEMBL398967,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,JAK/STAT pathway & DHFR (Suppresses Dome/Hopscotch signaling),Hop / DHFR,JAK2 / DHFR,In vivo Larval blood neoplasia (hopTum-l) & eye discs,Suppression of melanotic tumors at 10-50 uM,PMID: 25688914 / DOI: 10.1242/dmm.019182,454.45,0.27,210.54,5,10,9,3,0.25,33,0.295,0,Uyumlu (0-1 İhlal),Veber İhlali,İlaç Benzeri (Drug-Like),0.2,0.18,Geleneksel Kemoterapötik,Yüksek Potans (50 nM - 1 µM),2,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
Ruxolitinib,PubChem CID: 25126798 / ChEMBL1214119,N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,Drosophila Hopscotch (JAK kinase homolog),Hopscotch,JAK1 / JAK2,In vivo hopTum-l melanotic leukemia model,80% reduction of melanotic tumors at 20 uM diet,PMID: 28416629 / DOI: 10.1242/bio.023226,306.37,3.47,83.18,1,4,4,3,0.412,23,0.8,0,Uyumlu (0-1 İhlal),Veber Uyumlu,Kurşun Benzeri (Lead-Like),0.0033,0.06,Kinaz & Sinyal İnhibitörü,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
SP600125,PubChem CID: 5288 / ChEMBL28773,O=C1NC(=O)c2c1c1ccccc1c1cccnc21,JNK pathway (Drosophila Basket / Bsk kinase),Basket (Bsk),MAPK8 (JNK1),In vivo RasV12/scrib-/- tumor cell migration and MMP1 activation,Complete blockade of basement membrane degradation at 15 uM,PMID: 21743465 / DOI: 10.1038/nature10282,248.24,2.27,59.06,1,3,0,3,0.0,19,0.49,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.04,0.095,Kinaz & Sinyal İnhibitörü,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,Klinik Öncesi / Araştırma Fazı
Verteporfin,PubChem CID: 5362420 / ChEMBL398988,C=CC1=C(C)c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(C)c5CCC(=O)OC)c(C)c4C=C)C(C)=C3CCC(=O)OC,Hippo/Yorkie pathway (Disrupts Yki-Sd / YAP-TEAD complex),Yki-Sd complex,YAP1 / TEAD,In vivo Hippo mutant (hpo-/-) imaginal disc hyperplasia,Inhibition of Yorkie-driven overgrowth at 10 uM,PMID: 24711569 / DOI: 10.1016/j.cell.2014.02.045,590.72,7.68,109.96,2,6,8,3,0.278,44,0.26,2,İhlal (>1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.12,0.08,Sentetik Ölümcüllük & Epigenetik,Yüksek Potans (50 nM - 1 µM),2,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,Klinik Öncesi / Araştırma Fazı
Wnt-C59,PubChem CID: 51039049 / ChEMBL2171448,Cc1ccc(-c2ccc(CC(=O)Nc3ccc(-c4ccccn4)cc3)cc2)nc1,Porcupine (dPorc) / Wingless (Wg) palmitoylation & secretion,dPorc (Porcupine),PORCN,In vivo Intestinal stem cell Wnt-driven adenoma model,IC50 = 0.11 nM (Suppression of Wg target gene induction),PMID: 23023423 / DOI: 10.1073/pnas.1213804109,379.46,5.3,54.88,1,3,5,4,0.08,29,0.512,1,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.0001,0.05,Sentetik Ölümcüllük & Epigenetik,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,Klinik Öncesi / Araştırma Fazı
XAV-939,PubChem CID: 25127112 / ChEMBL512836,O=c1[nH]c(C(F)(F)F)nc2nc(-c3cc(F)ccc3Cl)[nH]c12,Tankyrase inhibitor / Axin stabilization (Wg degradation),Axin / Tankyrase,TNKS1/2,In vivo Apc1/Apc2 double mutant gut carcinoma model,Restores gut epithelial integrity at 5 uM,PMID: 21980148 / DOI: 10.1038/onc.2011.455,332.64,3.12,74.43,2,3,1,3,0.083,22,0.672,0,Uyumlu (0-1 İhlal),Veber Uyumlu,Kurşun Benzeri (Lead-Like),0.011,0.065,Sentetik Ölümcüllük & Epigenetik,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,Klinik Öncesi / Araştırma Fazı
DAPT,PubChem CID: 115245 / ChEMBL28770,CC(C)CC(NC(=O)Cc1cc(F)ccc1F)C(=O)NC(C)c1ccccc1,Gamma-secretase / Presenilin (Psn) Notch cleavage block,Psn (Presenilin),PSEN1 (gamma-secretase),In vivo Notch-induced wing margin & eye hyperplasia,IC50 = 115 nM (Notch NICD generation suppression),PMID: 18451878 / DOI: 10.1016/j.ydbio.2008.03.040,388.46,3.92,58.2,2,2,8,2,0.364,28,0.72,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.115,0.07,Sentetik Ölümcüllük & Epigenetik,Yüksek Potans (50 nM - 1 µM),2,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,Klinik Öncesi / Araştırma Fazı
Vismodegib,PubChem CID: 24776445 / ChEMBL1276319,CS(=O)(=O)c1ccc(Cl)c(C(=O)Nc2cccc(-c3ccncc3Cl)c2)c1,Hedgehog pathway (Drosophila Smoothened / Smo inhibitor),Smoothened (Smo),SMO,In vivo Ptc mutant basal-like carcinoma in imaginal wing disc,Suppression of Hh pathway hyper-induction at 2.5 uM,PMID: 25688914 / DOI: 10.1016/j.cell.2015.01.018,421.31,4.71,76.13,1,4,4,3,0.053,27,0.662,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.003,0.055,Sentetik Ölümcüllük & Epigenetik,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
Cisplatin,PubChem CID: 5702198 / ChEMBL113,N.N.[Cl][Pt][Cl],"DNA crosslinking, Dmp53 / Lok (Chk2) checkpoint activation",Dmp53 / Lok,DNA / TP53,In vivo Wing imaginal disc somatic mutation & recombination (SMART),Induction of tumor necrosis & DNA breaks at 25 uM,PMID: 26365345 / DOI: 10.1016/j.fct.2015.09.006,300.05,1.7,70.0,2,2,0,0,0.0,5,0.715,0,Uyumlu (0-1 İhlal),Veber Uyumlu,Kurşun Benzeri (Lead-Like),0.85,0.35,Geleneksel Kemoterapötik,Yüksek Potans (50 nM - 1 µM),2,Dar Terapötik İndeks (>%20 Toksisite),0,FDA Onaylı İlaç
Carboplatin,PubChem CID: 426756 / ChEMBL477,N.N.O=C(O)C1(C(=O)O)CCC1.[Pt],DNA crosslinking / Genotoxic stress (Drosophila p53 & Dmp53),Dmp53 / Lok,DNA / TP53,In vivo Larval eye-antennal imaginal disc tumor model,EC50 = 12.5 uM (Induction of apoptosis in tumor discs),PMID: 28416629 / DOI: 10.1038/srep46261,373.27,0.65,144.6,4,4,2,0,0.667,13,0.523,0,Uyumlu (0-1 İhlal),Veber İhlali,İlaç Benzeri (Drug-Like),1.2,0.25,Geleneksel Kemoterapötik,Orta Potans (1 - 25 µM),1,Dar Terapötik İndeks (>%20 Toksisite),0,FDA Onaylı İlaç
Oxaliplatin,PubChem CID: 43805 / ChEMBL1458,NC1CCCCC1N.O=C(O)C(=O)O.[Pt],"Platinum DNA adducts, ribosomal biogenesis stress",Dmp53 / Lok,DNA / TP53,In vivo Intestinal stem cell dysplasia & S2 cells,IC50 = 8.4 uM in S2 cells; Apoptosis induction at 20 uM,PMID: 29332219 / DOI: 10.1038/s41598-017-18758-5,399.3,-0.63,126.64,4,4,0,0,0.75,15,0.402,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.65,0.28,Geleneksel Kemoterapötik,Yüksek Potans (50 nM - 1 µM),2,Dar Terapötik İndeks (>%20 Toksisite),0,FDA Onaylı İlaç
Doxorubicin,PubChem CID: 31703 / ChEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C(OC1CC(N)C(O)C(C)O1)CC(O)(C(=O)CO)C3,Topoisomerase II (Drosophila Top2) & DNA damage,Top2 / Dmp53,TOP2A / TP53,In vitro S2 cell line & in vivo larval imaginal disc,IC50 = 0.85 uM (S2 proliferation assay),PMID: 21820542 / DOI: 10.1371/journal.pone.0022986,543.53,0.0,206.07,6,12,5,2,0.444,39,0.235,3,İhlal (>1 İhlal),Veber İhlali,İlaç Benzeri (Drug-Like),0.085,0.38,Geleneksel Kemoterapötik,Yüksek Potans (50 nM - 1 µM),2,Dar Terapötik İndeks (>%20 Toksisite),0,FDA Onaylı İlaç
Camptothecin,PubChem CID: 24360 / ChEMBL501,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,Topoisomerase I (Drosophila Top1) cleavage complex,Top1,TOP1,In vivo Somatic chromosome segregation & apoptosis,IC50 = 140 nM; Double-strand break induction at 1.0 uM,PMID: 15611068 / DOI: 10.1016/j.mrfmmm.2004.09.004,348.36,2.08,81.42,1,5,1,3,0.25,26,0.533,0,Uyumlu (0-1 İhlal),Veber Uyumlu,Kurşun Benzeri (Lead-Like),0.014,0.32,Geleneksel Kemoterapötik,Ultra Yüksek Potans (<50 nM),3,Dar Terapötik İndeks (>%20 Toksisite),0,FDA Onaylı İlaç
Etoposide,PubChem CID: 36462 / ChEMBL446,COc1cc(C2=CC3C(=O)OCC4C5COC(C)OC5C(O)C(O)C4(O)C3c3cc4c(cc32)OCO4)cc(OC)c1O,Top2 inhibitor preventing religation of DNA strands,Top2,TOP2A,In vitro Kc167 and S2 embryonic hemocyte cells,IC50 = 3.2 uM (G2/M arrest in Drosophila cells),PMID: 18056417 / DOI: 10.1074/jbc.M706437200,584.57,1.3,162.6,4,12,3,2,0.5,42,0.383,2,İhlal (>1 İhlal),Veber İhlali,İlaç Benzeri (Drug-Like),0.032,0.24,Geleneksel Kemoterapötik,Ultra Yüksek Potans (<50 nM),3,Dar Terapötik İndeks (>%20 Toksisite),0,FDA Onaylı İlaç
5-Fluorouracil,PubChem CID: 3385 / ChEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,Thymidylate Synthase (Drosophila Ts) inhibition,Ts (Thymidylate Synthase),TYMS,In vivo Adult Drosophila midgut enterocyte turnover model,Growth suppression of hyperplastic gut lesions at 10 uM,PMID: 24715792 / DOI: 10.1038/ncomms4639,130.08,-0.8,65.72,2,2,0,1,0.0,9,0.483,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.35,0.22,Geleneksel Kemoterapötik,Yüksek Potans (50 nM - 1 µM),2,Dar Terapötik İndeks (>%20 Toksisite),0,FDA Onaylı İlaç
Gemcitabine,PubChem CID: 60750 / ChEMBL888,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,Ribonucleotide Reductase (RnrS/RnrL) & DNA synthesis,RnrS / RnrL,RRM1 / RRM2,In vivo Intestinal stem cell (ISC) hyper-proliferation model,Growth arrest & apoptosis at 5 uM,PMID: 31278148 / DOI: 10.7554/eLife.46987,263.2,-1.29,110.6,3,6,2,1,0.556,18,0.612,0,Uyumlu (0-1 İhlal),Veber Uyumlu,Kurşun Benzeri (Lead-Like),0.045,0.21,Geleneksel Kemoterapötik,Ultra Yüksek Potans (<50 nM),3,Dar Terapötik İndeks (>%20 Toksisite),0,FDA Onaylı İlaç
Hydroxyurea,PubChem CID: 3657 / ChEMBL1083,NC(=O)NO,Ribonucleotide reductase free radical scavenger,RnrS,RRM2,In vivo Replication stress & S-phase checkpoint assay,Cell cycle arrest at 50 mM in food,PMID: 17317799 / DOI: 10.1038/sj.onc.1210356,76.05,-0.96,75.35,3,2,0,0,0.0,5,0.257,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),5.0,0.19,Geleneksel Kemoterapötik,Orta Potans (1 - 25 µM),1,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
Paclitaxel,PubChem CID: 36314 / ChEMBL428647,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,Beta-tubulin (betaTub56D) microtubule stabilization,betaTub56D,TUBB,In vitro S2 cell spindle checkpoint & chromosome segregation,Mitotic arrest at 10 nM; IC50 = 18 nM,PMID: 23144943 / DOI: 10.1242/jcs.112102,853.92,3.74,221.29,4,14,10,3,0.447,62,0.13,2,İhlal (>1 İhlal),Veber İhlali,İlaç Benzeri (Drug-Like),0.0018,0.3,Geleneksel Kemoterapötik,Ultra Yüksek Potans (<50 nM),3,Dar Terapötik İndeks (>%20 Toksisite),0,FDA Onaylı İlaç
Vinblastine,PubChem CID: 6710780 / ChEMBL4722,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C35C=CCN6CCC43C5C(OC(C)=O)C(O)(C(=O)OC)C6)C2)C1,Tubulin depolymerization inhibitor,betaTub56D,TUBB,In vitro Drosophila mitotic spindle assembly,IC50 = 25 nM in S2 cell mitosis,PMID: 21921208 / DOI: 10.1083/jcb.201103064,782.93,3.21,154.1,3,12,6,3,0.568,57,0.191,2,İhlal (>1 İhlal),Veber İhlali,İlaç Benzeri (Drug-Like),0.0025,0.31,Geleneksel Kemoterapötik,Ultra Yüksek Potans (<50 nM),3,Dar Terapötik İndeks (>%20 Toksisite),0,FDA Onaylı İlaç
