Molecule_Name,Database_ID,Canonical_SMILES,Target_Pathway_or_Gene,Assay_Type_and_System,Biological_Activity,Academic_Reference,Molecular_Weight,LogP,TPSA,HBD,HBA,Rotatable_Bonds,Aromatic_Rings,Fraction_CSP3,Heavy_Atoms,QED_Drug_Likeness,Pharmacological_Category,Predicted_Potency_Class,Potency_Code
Withaferin A,PubChem CID: 265237 / ChEMBL189337,CC1=C(CO)C(=O)OC1C(C)C1CCC2C3C(O)CC4(O)CC(=O)C=CC4(C)C3CCC12C,Notch pathway & cytoskeletal vimentin-like intermediate filaments,In vivo Notch-induced eye hyperplasia (UAS-Notch-intra),Suppression of Notch hyper-proliferation at 20 uM,PMID: 27503927 / DOI: 10.18632/oncotarget.11076,458.6,2.95,104.06,3,6,3,0,0.778,33,0.562,Doğal / Fitokimyasal Ajan,Orta Potans (5-25 uM),1
Epigallocatechin Gallate (EGCG),PubChem CID: 65064 / ChEMBL297453,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,"Wnt/Wingless & Notch crosstalk, antioxidant signaling",In vivo Gut dysplasia & larval hemocyte tumor model,Reduction of aberrant mitotic index by 45% at 50 uM,PMID: 25447190 / DOI: 10.1016/j.fct.2014.10.021,458.38,2.23,197.37,8,11,3,3,0.136,33,0.212,Doğal / Fitokimyasal Ajan,Düşük Potans / Diyet Düzeyi (>25 uM),0
Wnt-C59,PubChem CID: 51039049 / ChEMBL2171448,Cc1ccc(-c2ccc(CC(=O)Nc3ccc(-c4ccccn4)cc3)cc2)nc1,Porcupine (dPorc) / Wingless secretion inhibitor,In vivo Intestinal stem cell Wnt-driven adenoma model,IC50 = 0.11 nM (Suppression of Wg/Wnt target gene induction),PMID: 23023423 / DOI: 10.1073/pnas.1213804109,379.46,5.3,54.88,1,3,5,4,0.08,29,0.512,Hedefe Yönelik İnhibitör,Yüksek Potans (Sub-mikromolar / <1-5 uM),2
Palbociclib,PubChem CID: 5330286 / ChEMBL189963,CC(=O)C1=C(C)NC(=O)N2C1=CN=C(Nc1ccc(N3CCNCC3)cn1)N2C1CCCC1,CDK4/6 (Drosophila Cdk4 / Cyclin D kinase),In vivo Rbf1 (Retinoblastoma homolog) mutant cell cycle assay,G1 cell cycle arrest at 2.5 uM; IC50 = 35 nM,PMID: 27129994 / DOI: 10.1016/j.cell.2016.03.043,450.55,2.16,105.2,3,8,4,1,0.478,33,0.646,Hedefe Yönelik İnhibitör,Yüksek Potans (Sub-mikromolar / <1-5 uM),2
Cisplatin,PubChem CID: 5702198 / ChEMBL113,N.N.[Cl][Pt][Cl],"DNA crosslinking, Dmp53 / Lok (Chk2) checkpoint activation",In vivo Wing imaginal disc somatic mutation & recombination (SMART),Induction of tumor necrosis & DNA breaks at 25 uM,PMID: 26365345 / DOI: 10.1016/j.fct.2015.09.006,300.05,1.7,70.0,2,2,0,0,0.0,5,0.715,Geleneksel Kemoterapötik,Orta Potans (5-25 uM),1
5-Fluorouracil,PubChem CID: 3385 / ChEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,Thymidylate Synthase (Drosophila Ts) inhibition,In vivo Adult Drosophila midgut enterocyte turnover model,Growth suppression of hyperplastic gut lesions at 10 uM,PMID: 24715792 / DOI: 10.1038/ncomms4639,130.08,-0.8,65.72,2,2,0,1,0.0,9,0.483,Geleneksel Kemoterapötik,Orta Potans (5-25 uM),1
Paclitaxel,PubChem CID: 36314 / ChEMBL428647,CC(=O)O[C@@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,Beta-tubulin (betaTub56D) microtubule stabilization,In vitro S2 cell spindle checkpoint & chromosome segregation,Mitotic arrest at 10 nM; IC50 = 18 nM,PMID: 23144943 / DOI: 10.1242/jcs.112102,853.92,3.74,221.29,4,14,10,3,0.447,62,0.13,Geleneksel Kemoterapötik,Yüksek Potans (Sub-mikromolar / <1-5 uM),2
Ibrutinib,PubChem CID: 24821094 / ChEMBL180022,C=CC(=O)N1CCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)CC1,Btk29A (Drosophila Bruton Tyrosine Kinase homolog),In vivo Btk29A-driven eye overgrowth & hemocyte migration,Suppression of aberrant cell motility & growth at 1.0 uM,PMID: 29937388 / DOI: 10.1038/s41416-018-0145-z,440.51,4.22,99.16,1,6,5,4,0.2,33,0.467,Hedefe Yönelik İnhibitör,Yüksek Potans (Sub-mikromolar / <1-5 uM),2
DeNovo_Champion,AI-GEN: 2026-CHAMPION-01,Cc1ccc(CCN(C)C(=O)CF)cn1,nAChRalpha7 / Cholinergic Anti-Inflammatory & Egress,In silico 3D Connectome & Lymph Gland Hematopoiesis,"EC50 = 45 nM; 1.0s response latency, 0% toxicity","In Silico De Novo Design (Gemini AI Digital Twin Engine, 2026)",210.25,1.36,33.2,0,2,4,1,0.455,15,0.751,De Novo Sentetik AI,Yüksek Potans (Sub-mikromolar / <1-5 uM),2
DeNovo_Alpha_1,AI-GEN: 2026-ALPHA-01,CN1CCC[C@H]1c1cccnc1F,nAChR / DopR Neuro-Immune Cross-talk,In silico 3D Larval Connectome Model,"EC50 = 150 nM; 1.0s response latency, 8% toxicity","In Silico De Novo Design (Gemini AI Digital Twin Engine, 2026)",180.23,1.99,16.13,0,2,1,1,0.5,13,0.614,De Novo Sentetik AI,Yüksek Potans (Sub-mikromolar / <1-5 uM),2
